inputNeurons,outputNeurons,numHiddLayers,numNeurons,learningRate,epochs,r2Score,mse,loss,batchSize,runTime
30,1,2,60,0.001,100,0.5207935291578607,0.01062337402254343,0.01062337402254343,32,17.344422101974487
30,1,2,128,0.001,150,0.35063236228463723,0.01439562439918518,0.01439562439918518,32,25.713653087615967
22,1,2,128,0.001,150,0.44144648045009793,0.012382395565509796,0.012382395565509796,32,27.11159873008728
9,1,2,20,0.001,150,0.234218490351216,0.016976365819573402,0.016976365819573402,32,24.831918001174927
9,1,2,20,0.001,800,0.23537365143504219,0.016950758174061775,0.016950758174061775,32,130.5509271621704
9,1,3,40,0.001,100,0.23486345034334655,0.016962068155407906,0.016962068155407906,8,67.64438796043396
11,1,2,24,0.001,100,0.23358789976199779,0.01699034310877323,0.01699034310877323,32,16.870821952819824
41,1,2,24,0.001,100,0.5439299964845313,0.010110468603670597,0.010110468603670597,32,16.598981142044067
41,1,2,24,0.001,100,0.5350334296702393,0.008983329869806767,0.008983329869806767,32,16.598205089569092
41,1,2,82,0.001,100,0.37077342876434427,0.012156893499195576,0.012156893499195576,32,17.656253814697266
11,1,2,82,0.001,100,0.2339682251590839,0.01698191463947296,0.01698191463947296,32,17.955724954605103
3,1,2,64,0.001,100,0.061808904232643624,0.02079845778644085,0.02079845778644085,32,16.62805199623108
1,1,2,64,0.001,100,0.0010247574414509186,0.022145960479974747,0.022145960479974747,32,16.771846055984497
4,1,2,64,0.001,100,0.05994798681911917,0.020839711651206017,0.020839711651206017,32,16.605495929718018
31,1,2,64,0.001,100,0.49712796889911093,0.011148009449243546,0.011148009449243546,32,17.223093032836914
31,1,2,64,0.001,100,0.6061952798356328,1136920.25,1136920.25,32,16.617254972457886
4,1,2,64,0.001,100,0.024083134535664685,2817486.75,2817486.75,32,16.720863103866577
9,1,2,64,0.001,100,0.23625264064916385,2204950.25,2204950.25,32,16.99672508239746
9,1,2,64,0.001,600,0.23658981141578983,2203976.75,2203976.75,32,100.21152591705322
41,1,2,128,0.001,600,0.5844209637275357,1199783.0,1199783.0,32,101.63310813903809
3,1,2,64,0.001,600,0.596521352304653,0.008944589644670486,0.008944589644670486,32,180.84555792808533
3,1,2,64,0.001,1000,0.6065133147605886,0.008723081089556217,0.008723081089556217,32,166.7431800365448
3,1,2,100,0.0001,1000,0.6096542887961482,0.008653448894619942,0.008653448894619942,32,164.20999884605408
8,1,2,100,0.0001,500,0.6037095957636693,0.008785235695540905,0.008785235695540905,32,82.64792084693909
8,1,4,100,0.0001,500,0.2497861000127567,0.016631251201033592,0.016631251201033592,32,89.92765307426453
8,1,4,100,0.0001,1000,0.561216263980072,0.009727256372570992,0.009727256372570992,32,171.8562409877777
8,1,4,100,0.001,1500,0.6058571103063357,0.008737627416849136,0.008737627416849136,64,163.93226504325867
8,1,4,80,0.0001,1000,0.19915883577830584,0.017753593623638153,0.017753593623638153,128,66.91454100608826
8,1,4,100,0.0001,1000,0.5340856099864411,0.010328706353902817,0.010328706353902817,32,178.21841096878052
8,1,4,100,0.0001,3000,0.5931234133577723,0.00901991780847311,0.00901991780847311,32,557.9900772571564
8,1,2,64,0.001,500,0.6110869910476016,0.008621688932180405,0.008621688932180405,8,256.12534761428833
8,1,2,64,0.001,1500,0.6113723535769727,0.008615362457931042,0.008615362457931042,8,856.1843903064728
8,1,2,128,0.0001,1000,0.5791243773998225,0.009330257773399353,0.009330257773399353,32,157.40301990509033
8,1,2,128,0.0001,2000,0.6019095079516713,0.008825140073895454,0.008825140073895454,32,319.8757700920105
8,1,2,128,0.0001,50,-0.9524038046835583,0.043282218277454376,0.043282218277454376,256,3.4474422931671143
8,1,2,128,0.0001,50,-0.8785994155317125,0.0416460782289505,0.0416460782289505,1028,2.8215110301971436
8,1,2,128,0.0001,50,-0.47313287717424557,0.03265741094946861,0.03265741094946861,5140,2.6097588539123535
8,1,2,256,0.001,100,0.5692226606672791,0.009549764916300774,0.009549764916300774,32,16.832892894744873
8,1,3,512,0.001,100,0.6004682298059968,0.008857092820107937,0.008857092820107937,16,36.37625503540039
8,1,4,512,0.001,100,0.5942564539673862,0.008994799107313156,0.008994799107313156,16,40.95946907997131
8,1,3,512,0.001,200,0.6082253554351089,0.008685125969350338,0.008685125969350338,16,70.19960188865662
8,1,3,512,0.01,250,0.6004356644347975,0.00885781366378069,0.00885781366378069,16,87.58468008041382
8,1,3,512,0.001,250,0.6109811556343776,0.008624034933745861,0.008624034933745861,8,161.64888286590576
8,1,4,1028,0.001,250,0.6109401109247943,0.00862494483590126,0.00862494483590126,16,199.2322371006012
8,1,4,1028,0.001,400,0.6110077949781895,0.00862344354391098,0.00862344354391098,16,310.0793151855469
8,1,4,1028,0.01,500,0.6105459064563066,0.008633683435618877,0.008633683435618877,16,391.1954758167267
8,1,5,1028,0.1,300,0.6124395255031455,0.008591704070568085,0.008591704070568085,32,156.31723499298096
8,1,6,1028,0.1,300,0.5971866220677826,0.008929840289056301,0.008929840289056301,16,342.61677598953247
8,1,8,1028,0.01,500,0.6111783619970085,0.008619663305580616,0.008619663305580616,32,427.0180160999298
