inputNeurons,outputNeurons,numHiddLayers,numNeurons,learningRate,epochs,r2Score,mse,loss,batchSize,runTime
10,1,4,1024,1e-05,500,0.6045069103049614,0.008767560124397278,0.008767560124397278,1024,223.7800099849701
10,1,4,1024,1e-05,500,0.5587231021747365,0.009782526642084122,0.009782526642084122,1024,252.6357078552246
10,1,4,1024,1e-05,200,0.6147885532156733,0.00853962916880846,0.00853962916880846,1024,40.18806195259094
10,1,4,1024,0.0001,200,0.5914937350702361,0.00905604474246502,0.00905604474246502,1024,39.77387499809265
10,1,4,1024,1e-06,200,0.3124191821752724,0.015242759138345718,0.015242759138345718,1024,40.095986127853394
10,1,4,1024,1e-06,500,0.5975848948128604,0.008921012282371521,0.008921012282371521,1024,99.17236304283142
10,1,4,1024,1e-06,800,0.6105554300999968,0.008633471094071865,0.008633471094071865,1024,158.59699869155884
10,1,2,128,1e-06,800,0.3687684279793696,0.013993569649755955,0.013993569649755955,1024,33.19877600669861
10,1,2,128,1e-06,3000,0.5370320474125334,0.010263388976454735,0.010263388976454735,1024,112.84952783584595
10,1,2,128,1e-06,3000,0.019679966826729234,0.021732402965426445,0.021732402965426445,4096,106.42945313453674
10,1,4,5120,1e-06,200,0.39421885762277586,0.013429367914795876,0.013429367914795876,4096,428.33602833747864
10,1,4,1024,1e-06,200,0.3446283564220428,0.014528722502291203,0.014528722502291203,1024,41.049798250198364
10,1,4,1024,1e-06,800,0.6111125750339783,0.008621121756732464,0.008621121756732464,1024,157.70434165000916
10,1,2,128,0.01,400,0.5547071501388384,0.009871553629636765,0.009871553629636765,64,42.91016983985901
10,1,4,128,0.001,200,0.44545656091607166,0.012293495237827301,0.012293495237827301,64,25.09851884841919
10,1,6,128,0.001,200,0.4354089999496663,0.012516237795352936,0.012516237795352936,32,44.79397106170654
10,1,2,128,1e-06,200,0.53366006204308,0.010338139720261097,0.010338139720261097,64,22.187979698181152
